sample_id,old_region,new_region,confidence,first_control_time_seconds,evidence
G_009,1,2,0.95,3.2,"At 00:03, a fielder near the third-base line fields the ground ball and steps on the bag; the ball is located in the left-middle sector of the infield."
G_018,2,3,0.95,4.0,"At 00:04, the ground ball is fielded by a defender near the first-base side of the infield dirt, placing it in region 3."
G_026,2,3,0.9,5.0,"At 00:05, a fielder controls the ground ball near second base in the right-middle sector of the infield."
G_034,2,3,0.95,3.8,The ground ball is fielded by a defender in the right-middle sector of the infield (between first and second base) at approximately 3.8 seconds.
G_035,2,1,0.95,2.5,"At 00:02.5, the ball is fielded by a defender on the third-base side of the infield dirt, immediately after rolling from the batter's box."
G_052,2,3,1.0,5.75,A ground ball is tapped in front of home plate and rolls into the right-middle quadrant of the infield (Region 3). A defender fields the ball in this sector.
G_053,4,3,0.9,2.5,"At 00:02.500, a defender fields the ground ball on the first-base side of the infield dirt, specifically in the right-middle sector relative to home plate."
G_055,3,2,0.95,4.75,"At 00:00:04.75, the ball is tapped in front of home plate and first controlled by the shortstop near the intersection of the third-base line and the infield dirt, which corresponds to the left-middle quarter of the infield fan."
G_075,4,3,0.95,3.5,"At 3.5 seconds, the ball is first controlled by a defender near the first-base line, positioned in the right-middle quarter of the infield when viewed from above."
G_084,4,3,0.95,3.5,"At 3.5 seconds, the ball is first controlled by a defender near the first-base line, positioned in the right-middle quarter of the infield when viewed from above."
G_086,1,2,0.95,5.0,"At 00:05, a defender fields the ground ball on the third-base side of the infield dirt, specifically in the left-middle sector relative to the fair line fan."
G_103,3,4,0.9,4.5,"At 00:04.750, a defender dives and gains control of the ground ball on the first-base side of the infield dirt."
G_104,3,1,0.95,4.25,"At 00:04.25s, a defender dives and secures the ground ball on the third-base side of the infield, just outside the dirt area near the foul line."
