sample_id,decision,label,strength,event_start,event_end,landing_zone,trajectory_type,region,bounce,reason
F_001,accept,fly_ball,high,0.940,1.040,8,fly,,,"Replaced post-contact auto clip with head 0.000-7.000 clip; 25 fps frames show the swing at about 0.98 s and the local audio transient is at 0.98 s."
F_002,accept,,,1.250,1.350,,,,,"50 fps frames place bat-ball contact at about 1.24-1.30 s; local RMS and differential audio peaks are both at 1.30 s."
F_005,accept,,,,,,,,,"50 fps frames place contact around 1.52-1.60 s and the audio peak is 1.62 s; retain current 1.580-1.680 interval."
F_006,accept,,,,,,,,,"Current 0.790-0.890 interval contains the 0.84 s audio peak and visible swing; reject Qwen boundary-time correction."
F_011,accept,,,,,,,,,"Current 1.060-1.160 interval contains the global RMS and differential peak at 1.12 s; Qwen correction is late."
F_013,accept,,,,,,,,,"Current 3.300-3.400 interval contains the global RMS and differential peak at 3.36 s and matches the contact sequence."
F_016,accept,,,,,,,,,"Current 3.660-3.760 interval contains the differential peak at 3.72 s and matches the contact sequence."
F_019,accept,,,3.980,4.120,,,,,"High-resolution frames place contact around 4.04-4.12 s; differential audio peak is about 4.00 s."
F_023,accept,,,,,,,,,"Current interval covers the visible swing and has stronger local transient evidence than the proposed timing."
F_043,accept,,,,,,,,,"Current interval covers the visible swing and has a local transient ratio of 8.64; reject weaker proposed timing."
F_048,accept,,,,,,,,,"Current interval covers the visible contact; spectrogram shows a usable transient despite a high-noise baseline."
F_050,reject,,,,,,,,,"Visible swing is present but no clear short contact transient exists near the collision; unsuitable for contact-sound dataset."
F_052,accept,,,,,,,,,"Current interval covers the visible swing and has a local transient ratio of 11.90; reject weaker proposed timing."
F_054,accept,,,,,,,,,"Current interval covers the visible swing and has a local transient ratio of 9.95; reject weaker proposed timing."
F_061,accept,,,,,,,,,"Current interval covers the visible swing and has a local transient ratio of 25.34; reject weaker proposed timing."
F_062,accept,,,,,,,,,"Current interval covers the visible swing and has a local transient ratio of 11.55; reject weaker proposed timing."
F_068,accept,,,,,,,,,"Current interval covers the visible swing and has a local transient ratio of 10.16; reject weaker proposed timing."
F_071,accept,,,,,,,,,"Current interval covers the visible swing and passes the local transient threshold; proposed timing is weaker."
F_109,accept,,,,,,,,,"Current interval covers visible contact and the local transient ratio is 1.94, within manual tolerance for the noisy broadcast baseline."
G_001,accept,,,,,,3,yes,"Full-play frames and MLB source identify the second baseman fielding the grounder; under the fixed home-to-second wedge map this is region 3, not region 4. Contact remains aligned near 1.52 s and the receiving play is below knee height."
G_004,accept,,,,,,3,yes,"MLB source identifies Tyler Callihan as the pitcher; full-play frames show the comebacker on the first-base side of the home-to-second line, so region 3 replaces region 2. The visible swing and 1.47 s audio peak support the existing 1.420-1.520 interval."
G_006,accept,,,,,,4,no,"Full-play and contact-neighborhood review confirms the 2.460-2.560 timing and right-field-side region 4. Bounce is locked to no under the user-defined receiving-height rule."
