sample_id,sample_path,status,audio_ratio,changed_fields,old_values,new_values,reason
F_001,dataset\fly_ball\Codex_Workstation\F_001,manual_applied,,,{},{},Replaced post-contact auto clip with head 0.000-7.000 clip; 25 fps frames show the swing at about 0.98 s and the local audio transient is at 0.98 s.
F_002,dataset\fly_ball\Codex_Workstation\F_002,manual_applied,,"event_start,event_end","{""event_end"": ""2.820"", ""event_start"": ""2.720""}","{""event_end"": ""1.350"", ""event_start"": ""1.250""}",50 fps frames place bat-ball contact at about 1.24-1.30 s; local RMS and differential audio peaks are both at 1.30 s.
F_003,dataset\fly_ball\Codex_Workstation\F_003,auto_applied,11.145,"strength,event_start,event_end","{""event_end"": ""1.920"", ""event_start"": ""1.820"", ""strength"": ""medium""}","{""event_end"": ""1.950"", ""event_start"": ""1.800"", ""strength"": ""high""}","strict timing, semantics, and adjudication gates passed"
F_004,dataset\fly_ball\Codex_Workstation\F_004,auto_applied,6.226,"event_start,event_end","{""event_end"": ""2.740"", ""event_start"": ""2.640""}","{""event_end"": ""3.500"", ""event_start"": ""3.400""}","strict timing, semantics, and adjudication gates passed"
F_005,dataset\fly_ball\Codex_Workstation\F_005,manual_applied,,,{},{},50 fps frames place contact around 1.52-1.60 s and the audio peak is 1.62 s; retain current 1.580-1.680 interval.
F_006,dataset\fly_ball\Codex_Workstation\F_006,manual_applied,,,{},{},Current 0.790-0.890 interval contains the 0.84 s audio peak and visible swing; reject Qwen boundary-time correction.
F_007,dataset\fly_ball\Codex_Workstation\F_007,auto_applied,9.692,,{},{},"strict timing, semantics, and adjudication gates passed"
F_008,dataset\fly_ball\Codex_Workstation\F_008,manual_applied,,,{},{},25 fps frames show contact in the current interval and the spectrogram has a distinct broadband vertical transient at about 3.45 s; retain despite RMS ratio 1.72.
F_009,dataset\fly_ball\Codex_Workstation\F_009,auto_applied,4.773,"event_start,event_end","{""event_end"": ""2.760"", ""event_start"": ""2.660""}","{""event_end"": ""1.930"", ""event_start"": ""1.830""}","strict timing, semantics, and adjudication gates passed"
F_010,dataset\fly_ball\Codex_Workstation\F_010,auto_applied,9.902,"trajectory_type,event_start,event_end","{""event_end"": ""3.500"", ""event_start"": ""3.400"", ""trajectory_type"": ""fly""}","{""event_end"": ""3.490"", ""event_start"": ""3.390"", ""trajectory_type"": ""line_drive""}","strict timing, semantics, and adjudication gates passed"
F_011,dataset\fly_ball\Codex_Workstation\F_011,manual_applied,,,{},{},Current 1.060-1.160 interval contains the global RMS and differential peak at 1.12 s; Qwen correction is late.
F_012,dataset\fly_ball\Codex_Workstation\F_012,auto_applied,16.252,"trajectory_type,event_start,event_end","{""event_end"": ""3.480"", ""event_start"": ""3.380"", ""trajectory_type"": ""fly""}","{""event_end"": ""3.470"", ""event_start"": ""3.370"", ""trajectory_type"": ""line_drive""}","strict timing, semantics, and adjudication gates passed"
F_013,dataset\fly_ball\Codex_Workstation\F_013,manual_applied,,,{},{},Current 3.300-3.400 interval contains the global RMS and differential peak at 3.36 s and matches the contact sequence.
F_014,dataset\fly_ball\Codex_Workstation\F_014,auto_applied,11.649,"event_start,event_end","{""event_end"": ""1.200"", ""event_start"": ""1.100""}","{""event_end"": ""1.190"", ""event_start"": ""1.090""}","strict timing, semantics, and adjudication gates passed"
F_015,dataset\fly_ball\Codex_Workstation\F_015,auto_applied,9.380,"event_start,event_end","{""event_end"": ""1.060"", ""event_start"": ""0.960""}","{""event_end"": ""1.070"", ""event_start"": ""0.970""}","strict timing, semantics, and adjudication gates passed"
F_016,dataset\fly_ball\Codex_Workstation\F_016,manual_applied,,,{},{},Current 3.660-3.760 interval contains the differential peak at 3.72 s and matches the contact sequence.
F_017,dataset\fly_ball\Codex_Workstation\F_017,manual_applied,,,{},{},25 fps frames show contact near 1.23 s and the spectrogram has a distinct broadband transient at the same time; retain despite a noisy baseline.
F_018,dataset\fly_ball\Codex_Workstation\F_018,manual_applied,,,{},{},25 fps frames show contact near 1.97 s and the spectrogram has a strong narrow broadband transient at the same time; retain despite RMS ratio 1.33.
F_019,dataset\fly_ball\Codex_Workstation\F_019,manual_applied,,"event_start,event_end","{""event_end"": ""3.780"", ""event_start"": ""3.680""}","{""event_end"": ""4.120"", ""event_start"": ""3.980""}",High-resolution frames place contact around 4.04-4.12 s; differential audio peak is about 4.00 s.
F_020,dataset\fly_ball\Codex_Workstation\F_020,auto_applied,9.830,"event_start,event_end","{""event_end"": ""0.880"", ""event_start"": ""0.780""}","{""event_end"": ""0.960"", ""event_start"": ""0.820""}","strict timing, semantics, and adjudication gates passed"
F_021,dataset\fly_ball\Codex_Workstation\F_021,manual_applied,,,{},{},25 fps frames show contact near 1.59 s and the spectrogram contains a narrow all-band transient at the same time; retain after manual audio-visual review.
F_022,dataset\fly_ball\Codex_Workstation\F_022,manual_applied,,,{},{},25 fps frames show contact near 3.49 s and the spectrogram has a clear isolated broadband transient at that time; retain despite the median-based ratio.
F_023,dataset\fly_ball\Codex_Workstation\F_023,manual_applied,,,{},{},Current interval covers the visible swing and has stronger local transient evidence than the proposed timing.
F_024,dataset\fly_ball\Codex_Workstation\F_024,manual_applied,,,{},{},25 fps frames place contact in the current 1.020-1.120 interval and its local transient ratio is 6.58; reject the model interval that incorrectly begins at 0.56 s.
F_025,dataset\fly_ball\Codex_Workstation\F_025,manual_applied,,,{},{},25 fps frames place contact in the current 0.960-1.060 interval with adequate pre-contact context and a local transient ratio of 8.44; reject the erroneous 0.035-0.135 proposal.
F_026,dataset\fly_ball\Codex_Workstation\F_026,manual_applied,,,{},{},25 fps frames show contact near 2.35 s and the spectrogram contains a strong isolated broadband transient aligned with it.
F_027,dataset\fly_ball\Codex_Workstation\F_027,auto_applied,10.508,"event_start,event_end","{""event_end"": ""0.800"", ""event_start"": ""0.700""}","{""event_end"": ""0.690"", ""event_start"": ""0.590""}","strict timing, semantics, and adjudication gates passed"
F_028,dataset\fly_ball\Codex_Workstation\F_028,auto_applied,4.048,"event_start,event_end","{""event_end"": ""0.830"", ""event_start"": ""0.730""}","{""event_end"": ""1.010"", ""event_start"": ""0.910""}","strict timing, semantics, and adjudication gates passed"
F_029,dataset\fly_ball\Codex_Workstation\F_029,auto_applied,25.927,"event_start,event_end","{""event_end"": ""3.280"", ""event_start"": ""3.180""}","{""event_end"": ""3.270"", ""event_start"": ""3.170""}","strict timing, semantics, and adjudication gates passed"
