sample_id,sample_path,label,timing_status,semantics_status,adjudication_status,final_status,reviewed_stages,notes
F_042,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_042,fly_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_047,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_047,fly_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_050,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_050,fly_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_051,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_051,fly_ball,correct,pass,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_053,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_053,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_057,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_057,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_058,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_058,fly_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_060,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_060,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_063,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_063,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_064,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_064,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_067,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_067,fly_ball,correct,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_072,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_072,fly_ball,correct,correct,accept_correction,auto_accepted,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
F_075,dataset_rejected\qwen_auto_qc_20260713\dataset\fly_ball\Codex_Workstation\F_075,fly_ball,review,correct,accept_correction,manual_review,"timing,semantics,adjudication",Qwen results are proposals until applied by the separate reconciliation step.
