global_index,repair_batch_index,collector,sample_id,main_relative_path,before_event_start,before_event_end,after_event_start,after_event_end,outcome,category,action,first_pass_disposition,first_pass_model,independent_review_model,old_prefilter_status,old_primary_error
1207,1,Zhengxuan_Liu,F_034,dataset/fly_ball/Zhengxuan_Liu/F_034,0.91,0.917,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1206,2,Zhengxuan_Liu,F_033,dataset/fly_ball/Zhengxuan_Liu/F_033,1.138,1.15,1.095,1.195,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1205,3,Zhengxuan_Liu,F_032,dataset/fly_ball/Zhengxuan_Liu/F_032,0.809,0.815,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,contact_timestamp_wrong
1204,4,Zhengxuan_Liu,F_031,dataset/fly_ball/Zhengxuan_Liu/F_031,2.171,2.179,2.123,2.223,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1203,5,Zhengxuan_Liu,F_030,dataset/fly_ball/Zhengxuan_Liu/F_030,1.115,1.122,1.065,1.165,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1202,6,Zhengxuan_Liu,F_029,dataset/fly_ball/Zhengxuan_Liu/F_029,1.204,1.211,1.155,1.255,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen-omni-turbo,needs_edit,clip_too_short
1201,7,Zhengxuan_Liu,F_028,dataset/fly_ball/Zhengxuan_Liu/F_028,0.852,0.859,0.806,0.906,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1200,8,Zhengxuan_Liu,F_027,dataset/fly_ball/Zhengxuan_Liu/F_027,1.148,1.156,1.100,1.200,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1199,9,Zhengxuan_Liu,F_026,dataset/fly_ball/Zhengxuan_Liu/F_026,1.297,1.307,1.250,1.350,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1198,10,Zhengxuan_Liu,F_025,dataset/fly_ball/Zhengxuan_Liu/F_025,0.441,0.449,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1197,11,Zhengxuan_Liu,F_024,dataset/fly_ball/Zhengxuan_Liu/F_024,1.902,1.916,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
1196,12,Zhengxuan_Liu,F_023,dataset/fly_ball/Zhengxuan_Liu/F_023,0.443,0.451,0.396,0.496,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1195,13,Zhengxuan_Liu,F_022,dataset/fly_ball/Zhengxuan_Liu/F_022,2.035,2.047,1.988,2.088,metadata_time_correction,independent_multimodal_confirmation,publish corrected event_start/event_end,candidate_bound_pending_second_review,qwen3.5-omni-plus,qwen3.5-omni-flash,needs_edit,clip_too_short
1194,14,Zhengxuan_Liu,F_021,dataset/fly_ball/Zhengxuan_Liu/F_021,0.369,0.379,,,needs_source_recut,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,contact_visible_audio_unresolved,qwen3.5-omni-plus,qwen3.5-omni-plus,needs_edit,clip_too_short
