sample_path,sample_id,label,old_region,new_region,suggested_region,old_bounce,new_bounce,old_event_start,old_event_end,new_event_start,new_event_end,changed_fields,region_status,bounce_status,time_status,audio_diff_peak_time,review_note,change_reason,time_reason,region_hint,clip_id
dataset\fly_ball\Codex_Workstation\F_001,F_001,fly_ball,,,,,,0.790,0.890,0.790,0.890,,not_applicable,not_applicable,needs_visual_review,6.060,,,global_audio_diff_peak_outside_event_tolerance:6.060;large_refinement_shift:0.100->0.840,,MLB_824093_isaac-collins-homers-4-on-a-fly-ball-to-center-field_auto1_4p320_11p320
dataset\fly_ball\Codex_Workstation\F_002,F_002,fly_ball,,,,,,2.720,2.820,2.720,2.820,,not_applicable,not_applicable,needs_visual_review,6.300,,,global_audio_diff_peak_outside_event_tolerance:6.300;large_refinement_shift:1.950->2.770,,MLB_824093_stephen-kolek-in-play-run-s-to-hunter-feduccia_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_003,F_003,fly_ball,,,,,,1.820,1.920,1.820,1.920,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.880,,,,,MLB_824982_griffin-conine-lines-out-to-first-baseman-nick-kurtz_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_004,F_004,fly_ball,,,,,,2.640,2.740,2.640,2.740,,not_applicable,not_applicable,needs_visual_review,4.600,,,global_audio_diff_peak_outside_event_tolerance:4.600,,MLB_824658_pete-crow-armstrong-singles-in-the-8th-inning_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_005,F_005,fly_ball,,,,,,1.580,1.680,1.580,1.680,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.620,,,,,MLB_824334_juan-mejia-in-play-out-s-to-bryce-eldridge-bglct6_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_006,F_006,fly_ball,,,,,,0.790,0.890,0.790,0.890,,not_applicable,not_applicable,needs_visual_review,5.820,,,global_audio_diff_peak_outside_event_tolerance:5.820;large_refinement_shift:0.150->0.840,,MLB_824983_aaron-civale-in-play-out-s-to-jakob-marsee_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_007,F_007,fly_ball,,,,,,1.070,1.170,1.070,1.170,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,1.120,,,,,MLB_824413_shawn-armstrong-in-play-out-s-to-tristan-peters_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_008,F_008,fly_ball,,,,,,3.400,3.500,3.400,3.500,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,3.460,,,,,MLB_824333_tyler-mahle-in-play-no-out-to-jake-mccarthy_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_009,F_009,fly_ball,,,,,,2.660,2.760,2.660,2.760,,not_applicable,not_applicable,needs_visual_review,1.880,,,global_audio_diff_peak_outside_event_tolerance:1.880;large_refinement_shift:2.050->2.710,,MLB_823931_shohei-ohtani-singles-on-a-line-drive-to-center-fielder-jackson-merri_head_0p000_7p000
dataset\fly_ball\Codex_Workstation\F_010,F_010,fly_ball,,,,,,3.400,3.500,3.400,3.500,,not_applicable,not_applicable,pass_audio_only_needs_visual_confirmation,3.440,,,,,MLB_824900_freddy-peralta-in-play-out-s-to-mike-yastrzemski-irj7tw_head_0p000_7p000
